仿佛 彷彿
阵 陣
阶 階
际 際
陆 陸
陇 隴
陈 陳
陉 陘
陕 陝
陧 隉
陨 隕
险 險
随 隨
隐 隱
隶 隸
隽 雋
难 難
雏 雛
雠 讎
雳 靂
雾 霧
霁 霽
霡 霢
霭 靄
靓 靚
静 靜
靥 靨
鞑 韃
鞒 鞽
鞯 韉
韦 韋
韧 韌
韨 韍
韩 韓
韪 韙
韫 韞
韬 韜
韵 韻
页 頁
顶 頂
顷 頃
顸 頇
项 項
顺 順
须 須
顼 頊
顽 頑
顾 顧
顿 頓
颀 頎
颁 頒
颂 頌
颃 頏
预 預
颅 顱
领 領
颇 頗
颈 頸
颉 頡
颊 頰
颋 頲
颌 頜
颍 潁
颎 熲
颏 頦
颐 頤
频 頻
颒 頮
颓 頹
颔 頷
颕 頴
颖 穎
颗 顆
题 題
颙 顒
颚 顎
颛 顓
颜 顏
额 額
颞 顳
颟 顢
颠 顛
颡 顙
颢 顥
颣 纇
颤 顫
颥 顬
颦 顰
颧 顴
风 風
飏 颺
飐 颭
飑 颮
飒 颯
飓 颶
飔 颸
飕 颼
飖 颻
飗 飀
飘 飄
飙 飆
飚 飈
飞 飛
飨 饗
餍 饜
饣 飠
饤 飣
饥 飢
饦 飥
饧 餳
饨 飩
饩 餼
饪 飪
饫 飫
饬 飭
饭 飯
饮 飲
饯 餞
饰 飾
饱 飽
饲 飼
饳 飿
饴 飴
饵 餌
饶 饒
饷 餉
饸 餄
饹 餎
饺 餃
饻 餏
饼 餅
饽 餑
饾 餖
饿 餓
馀 餘
馁 餒
馂 餕
馃 餜
馄 餛
馅 餡
馆 館
馇 餷
馈 饋
馉 餶
馊 餿
馋 饞
馌 饁
馍 饃
馎 餺
馏 餾
馐 饈
馑 饉
馒 饅
馓 饊
馔 饌
馕 饢
马 馬
驭 馭
驮 馱
驯 馴
驰 馳
驱 驅
驲 馹
驳 駁
驴 驢
驵 駔
驶 駛
驷 駟
驸 駙
驹 駒
驺 騶
驻 駐
驼 駝
驽 駑
驾 駕
驿 驛
骀 駘
骁 驍
骂 罵
骃 駰
骄 驕
骅 驊
骆 駱
骇 駭
骈 駢
骉 驫
骊 驪
骋 騁
验 驗
骍 騂
骎 駸
骏 駿
骐 騏
骑 騎
骒 騍
骓 騅
骔 騌
骕 驌
骖 驂
骗 騙
骘 騭
骙 騤
骚 騷
骛 騖
骜 驁
骝 騮
骞 騫
骟 騸
骠 驃
骡 騾
骢 驄
骣 驏
骤 驟
骥 驥
骦 驦
骧 驤
髅 髏
髋 髖
髌 髕
鬓 鬢
鬶 鬹
魇 魘
魉 魎
鱼 魚
鱽 魛
鱾 魢
鱿 魷
鲀 魨
鲁 魯
鲂 魴
鲃 䰾
鲄 魺
鲅 鮁
鲆 鮃
鲇 鯰
鲈 鱸
鲉 鮋
鲊 鮓
鲋 鮒
鲌 鮊
鲍 鮑
鲎 鱟
鲏 鮍
鲐 鮐
鲑 鮭
鲒 鮚
鲓 鮳
鲔 鮪
鲕 鮞
鲖 鮦
鲗 鰂
鲘 鮜
鲙 鱠
鲚 鱭
鲛 鮫
鲜 鮮
鲝 鮺
鲞 鯗
鲟 鱘
鲠 鯁
鲡 鱺
鲢 鰱
鲣 鰹
鲤 鯉
鲥 鰣
鲦 鰷
鲧 鯀
鲨 鯊
鲩 鯇
鲪 鮶
鲫 鯽
鲬 鯒
鲭 鯖
鲮 鯪
鲯 鯕
鲰 鯫
鲱 鯡
鲲 鯤
鲳 鯧
鲴 鯝
鲵 鯢
鲷 鯛
鲸 鯨
鲹 鰺
鲺 鯴
鲻 鯔
鲼 鱝
鲽 鰈
鲾 鰏
鲿 鱨
鳀 鯷
鳁 鰮
鳂 鰃
鳃 鰓
鳄 鱷
鳅 鰍
鳆 鰒
鳇 鰉
鳈 鰁
鳉 鱂
鳊 鯿
鳋 鰠
鳌 鰲
鳍 鰭
鳎 鰨
鳏 鰥
鳐 鰩
鳑 鰟
鳒 鰜
鳓 鰳
鳔 鰾
鳕 鱈
鳖 鱉
鳗 鰻
鳘 鰵
鳙 鱅
鳚 䲁
鳛 鰼
鳜 鱖
鳝 鱔
鳞 鱗
鳟 鱒
鳠 鱯
鳡 鱤
鳢 鱧
鳣 鱣
鳤 䲘
鸟 鳥
鸠 鳩
鸡 雞
鸢 鳶
鸣 鳴
鸤 鳲
鸥 鷗
鸦 鴉
鸧 鶬
鸨 鴇
鸩 鴆
鸪 鴣
鸫 鶇
鸬 鸕
鸭 鴨
鸮 鴞
鸯 鴦
鸰 鴒
鸱 鴟
鸲 鴝
鸳 鴛
鸴 鷽
鸵 鴕
鸶 鷥
鸷 鷙
鸸 鴯
鸹 鴰
鸺 鵂
鸻 鴴
鸼 鵃
鸽 鴿
鸾 鸞
鸿 鴻
鹀 鵐
鹁 鵓
鹂 鸝
鹃 鵑
鹄 鵠
鹅 鵝
鹆 鵒
鹇 鷳
鹈 鵜
鹉 鵡
鹊 鵲
鹋 鶓
鹌 鵪
鹍 鵾
鹎 鵯
鹏 鵬
鹐 鵮
鹑 鶉
鹒 鶊
鹓 鵷
鹔 鷫
鹕 鶘
鹖 鶡
鹗 鶚
鹘 鶻
鹙 鶖
鹚 鶿
鹛 鶥
鹜 鶩
鹝 鷊
鹞 鷂
鹟 鶲
鹠 鶹
鹡 鶺
鹢 鷁
鹣 鶼
鹤 鶴
鹥 鷖
鹦 鸚
鹧 鷓
鹨 鷚
鹩 鷯
鹪 鷦
鹫 鷲
鹬 鷸
鹭 鷺
鹮 䴉
鹯 鸇
鹰 鷹
鹱 鸌
鹲 鸏
鹳 鸛
鹴 鸘
鹾 鹺
麦 麥
麸 麩
麹 麴
黄 黃
黉 黌
黡 黶
黩 黷
黪 黲
黾 黽
鼋 黿
鼍 鼉
鼗 鞀
鼹 鼴
齐 齊
齑 齏
齿 齒
龀 齔
龁 齕
龂 齗
龃 齟
龄 齡
龅 齙
龆 齠
龇 齜
龈 齦
龉 齬
龊 齪
龋 齲
龌 齷
龙 龍
龚 龔
龛 龕
龟 龜
𠆲 儣
𠆿 𠌥
𠉂 㒓
𠉗 𠏢
𠚳 𠠎
𠛅 剾
𠛆 𠞆
𠯟 哯
𠯠 噅
𠲥 𡅏
𠴢 𡄔
𠵸 𡄣
𠵾 㗲
𡋀 𡓾
𡋗 𡑭
𡒄 壈
𡝠 㜷
𡞱 㜢
𡭜 𡮉
𡭬 𡮣
𡶴 嵼
𢋈 㢝
𢘝 𢣚
𢘞 𢣭
𢙓 懀
𢛯 㦎
𢫊 𢷮
𢫞 𢶫
𢫬 摋
𢬦 𢹿
𢭏 擣
𢽾 斅
𣆐 曥
𣍨 𦢈
𣍯 腪
𣍰 脥
𣎑 臗
𣐤 欍
𣑶 𣠲
𣗋 欓
𣘓 𣞻
𣘴 檭
𣘷 𣝕
𣭤 𣯴
𣶩 澅
𣶫 𣿉
𣸣 濆
𣺼 灙
𣺽 𤁣
𣽷 瀃
𤆡 熓
𤇃 爄
𤇄 熌
𤈶 熉
𤈷 㷿
𤊀 𤒎
𤋏 熡
𤞤 玁
𤠋 㺏
𤦀 瓕
𤳄 𤳸
𤶧 𤸫
𤽯 㿧
𤾀 皟
𥅘 𥌃
𥅴 䀹
𥆧 瞤
𥇢 䁪
𥐟 礒
𥐯 𥖅
𥐰 𥕥
𥐻 碙
𥧂 𥨐
𥬀 䉙
𥬞 籋
𥬠 篘
𥭉 𥵊
𥮋 𥸠
𥮜 䉲
𥱔 𥵃
𥹥 𥼽
𥺅 䊭
𥺇 𥽖
𦈈 𥿊
𦈉 緷
𦈋 綇
𦈌 綀
𦈎 繟
𦈏 緍
𦈐 縺
𦈑 緸
𦈒 𦂅
𦈓 䋿
𦈔 縎
𦈕 緰
𦈖 䌈
𦈗 𦃄
𦈘 䌋
𦈙 䌰
𦈚 縬
𦈛 繓
𦈜 䌖
𦈝 繏
𦈞 䌟
𦈟 䌝
𦈠 䌥
𦈡 繻
𦛨 朥
𦝼 膢
𦟗 𦣎
𦨩 𦪽
𦰴 䕳
𧉞 䗿
𧒭 𧔥
𧮪 詀
𧳕 𧳟
𧹑 䞈
𧹓 𧶔
𧹕 䝻
𧹖 賟
𧹗 贃
𧿈 𨇁
𨀱 𨄣
𨁴 𨅍
𨂺 𨈊
𨄄 𨈌
𨅫 𨇞
𨅬 躝
𨉗 軉
𨐅 軗
𨐆 𨊻
𨐇 𨏠
𨐈 輄
𨐉 𨎮
𨐊 𨏥
𨑹 䢨
𨤰 𨤻
𨰾 鎷
𨰿 釳
𨱀 𨥛
𨱁 鈠
𨱂 鈋
𨱃 鈲
𨱄 鈯
𨱅 鉁
𨱆 龯
𨱇 銶
𨱈 鋉
𨱉 鍄
𨱊 𨧱
𨱋 錂
𨱌 鏆
𨱍 鎯
𨱎 鍮
𨱏 鎝
𨱐 𨫒
𨱑 鐄
𨱒 鏉
𨱓 鐎
𨱔 鐏
𨱕 𨮂
𨱖 䥩
𨷿 䦳
𨸀 𨳕
𨸁 𨳑
𨸂 閍
𨸃 閐
𨸄 䦘
𨸅 𨴗
𨸆 𨵩
𨸇 𨵸
𨸉 𨶀
𨸊 𨶏
𨸋 𨶲
𨸌 𨶮
𨸎 𨷲
𨸘 𨽏
𨸟 䧢
𩏼 䪏
𩏽 𩏪
𩏾 𩎢
𩏿 䪘
𩐀 䪗
𩖕 𩓣
𩖖 顃
𩖗 䫴
𩙥 颰
𩙦 𩗀
𩙧 𩗡
𩙨 𩘹
𩙩 𩘀
𩙪 颷
𩙫 颾
𩙬 𩘺
𩙭 𩘝
𩙮 䬘
𩙯 䬝
𩙰 𩙈
𩟿 𩚛
𩠀 𩚥
𩠁 𩚵
𩠂 𩛆
𩠃 𩛩
𩠅 𩟐
𩠆 𩜦
𩠇 䭀
𩠈 䭃
𩠉 𩜇
𩠊 𩜵
𩠋 𩝔
𩠌 餸
𩠎 𩞄
𩠏 𩞦
𩠠 𩠴
𩧦 𩡺
𩧨 駎
𩧩 𩤊
𩧪 䮾
𩧫 駚
𩧬 𩢡
𩧭 䭿
𩧮 𩢾
𩧯 驋
𩧰 䮝
𩧱 𩥉
𩧲 駧
𩧳 𩢸
𩧴 駩
𩧵 𩢴
𩧶 𩣏
𩧺 駶
𩧻 𩣵
𩧼 𩣺
𩧿 䮠
𩨀 騔
𩨁 䮞
𩨃 騝
𩨄 騪
𩨅 𩤸
𩨆 𩤙
𩨇 䮫
𩨈 騟
𩨉 𩤲
𩨊 騚
𩨋 𩥄
𩨌 𩥑
𩨍 𩥇
𩨎 龭
𩨏 䮳
𩨐 𩧆
𩬣 𩭙
𩬤 𩰀
𩯒 𩯳
𩲒 𩳤
𩽹 魥
𩽺 𩵩
𩽻 𩵹
𩽼 鯶
𩽽 𩶱
𩽾 鮟
𩽿 𩶰
𩾁 鯄
𩾂 䲖
𩾃 鮸
𩾄 𩷰
𩾅 𩸃
𩾆 𩸦
𩾇 鯱
𩾈 䱙
𩾊 䱬
𩾋 䱰
𩾌 鱇
𩾎 𩽇
𪉂 䲰
𪉃 鳼
𪉄 𩿪
𪉅 𪀦
𪉆 鴲
𪉈 鴜
𪉉 𪁈
𪉊 鷨
𪉋 𪀾
𪉌 𪁖
𪉍 鵚
𪉎 𪂆
𪉏 𪃏
𪉐 𪃍
𪉑 鷔
𪉒 𪄕
𪉓 𪈼
𪉔 𪄆
𪉕 𪇳
𪎈 䴬
𪎉 麲
𪎊 麨
𪎋 䴴
𪎌 麳
𪎍 𪋿
𪔭 𪔵
𪚏 𪘀
𪚐 𪘯
𪞝 凙
𪡏 嗹
𪢮 圞
𪨊 㞞
𪨗 屩
𪻐 瑽
𪾢 睍
𫁡 鴗
𫂈 䉬
𫄨 絺
𫄸 纁
𫌀 襀
𫌨 覼
𫍙 訑
𫍢 譊
𫍰 諰
𫍲 謏
𫏋 蹻
𫐄 軏
𫐆 轣
𫐉 軨
𫐐 輗
𫐓 輮
𫓧 鈇
𫓩 鏦
𫔎 鐍
𫖸 願
𫗠 餦
𫗦 餔
𫗧 餗
𫗮 餭
𫗴 饘
𫘝 駃
𫘣 駻
𫘤 騃
𫘨 騠
𫚈 鱮
𫚉 魟
𫚒 鮄
𫚔 鮰
𫚕 鰤
一 壹
二 贰
三 叁
四 肆
五 伍
六 陆
七 柒
八 捌
九 玖
十 拾
百 佰
千 仟
万 萬
